S.No,Comments,Label
115,idemi daridramu ra anna assalu bharincha leka potunnamu veellaku emaina buddhi gnanamu vunda vella iq enta mott amur family kalipi chusina daatadi emo,hate
116,adhikaram vunte thuglak gadu emaina chesasthadu,hate
117,agu gadi debbaku reddys ni jobslo evaru petukoru kulanike ibandi padutumndi,hate
118,chi maarandi e trolls chusaina public feeling telusukoni masalukondi,hate
119,nijam ayyina reddlu tdp ki support ga undali,non-hate
120,me vally telagana eroju ela vundhi sir ma andra ki kuda jagan lanty yadhava kakundha melanty ledars kavali sir great kcr and ktr,hate
121,mata tadabada kunda clear ga ktr sir matalu super,non-hate
122,telangana ki manchi rojulu vasthunai,non-hate
123,big boss lo he felt lonelya emotion lo siri ne hug cheskunadunot with bad intentionhope deepthi understands himhis smile nd eyes both r filled with pain,non-hate
124,meru superr andhra gurchince koncham careing im haapy for that keep supporting,non-hate
125,partial dharidrsm voddhu sir,hate
126,okka party lo unte neevu correctchange aite ilane untundi,hate
127,ravi teja the man behind those wonderful memes raviteja anna ki oka oooooo,non-hate
128,ycp chappina matalu vinte mosapotaru jagrtta,hate
129,vidipoyaru ana pain feel una navvuthunadu shannu,non-hate
130,ippudu ee vedio choostey pichha comedy ga untundhicomedy cheddam anukoni comedy aipoyava narsiredyyyyadaki poyavayyaa,hate
131,janame kurcho pettaru mimmalni tharimi kottaru,hate
132,ramcharan garu mari intha introvert ha devuda decent ga unnadu fidha ntr rajamouli suma garu next level super,non-hate
133,cbn maryada poorvakanga mic isthe praja samasyalu thelusukokunda mp garu dhurviniyogam chesaru,hate
134,jokulu vesukoni navukunnaru eppudu andaru navutunnaru chusi,non-hate
135,vedu evavu overaction chesthunnadu child labour aa,hate
136,pilla pu aathulu,hate
137,velli allurjun madda guudu,hate
138,super sir mee lanti vallu undali si,non-hate
139,ah group lo nannu add chaindi mawa,non-hate
140,super sir ila andharu alochinchi respectful ga move ithey society bagupadthadhi,non-hate
141,great sir me behavior ku na police vallu andharu me laga unte friendly policing,non-hate
142,nibba ki phone istey ela untundi,hate
143,super ga vundhi drama commen people ni sir ani kuda antara o my god this is team work guys,non-hate
144,nagavalli died because of this video,hate
145,prank lu chesukuntunaru e police gallu public ni mosam cheyadaniki,hate
146,aatla vastai anna niku enni telivi tetalu oka cinema thi anna,non-hate
147,vera level sinking sir comedy super,non-hate
148,police drama is thisjanaalanu andhulo specially night time sir ani respect iche antha seen ledu,hate
149,okkokkadiki months pregnancy vundhi policelaki,hate
150,acting chaalabaagundi mi timing kanivandi performance kanivandi dialogue delivery gaani nice kipet up all the best you have a great future as an artist,non-hate
159,tv ki dula thirchestadu rgv,hate
163,boothu ki care of address ayina anasuya garu boothu gurinchi maatlaaduthundhi wah wah,hate
164,video super ayya editing super anthey,non-hate
165,edhi matharam jabardasth lo expose cheychu adult comedy cheyachu ari fikudhi,hate
166,assalu monna vachina khiladi cinima lo anusuya matram hot hot ga ichi padesindianthe,non-hate
167,bhuthulu gurinchi double meanings gurinchi nuv matladodhu anusuya plz,hate
170,meeku ichindhi mamulu post kadhusvbc chairman ante manchi postmeeru daani missuse chesukunnarujagan gurinchi pk gari gurinchi kadhumeeru avakaasamu miss use chesukunnaru,hate
172,pilichi pettinchukuntaru gatv ki eemadhya sarada ayindi,hate
173,e tv ki burra poyandhi,hate
175,ñeela oka hr kuda undalem sir jai rgv,non-hate
180,vedhavalu vedhavalu anni chotla vunnaruinka janalani yedipinchadam tappa,hate
182,byredyy cheyppadu kada ra nenu party maredu ledu ani mee moddalo gola yanti raa,hate
183,vadu em matladuthunnado eanna artham aithe kanisam telugu translator ni pettukovachuga telugu bashaki respect ivvaru bjp vallu,hate
184,anna nee comedy expressions baguntai,non-hate
185,bro ni slang ee neeku plus point manchi humour undi neelo elane regular ga videos chestu undu k pakka,non-hate
195,dīnamma jīvitaṁ okka postive kāmeṇṭ kanīsaṁ cūdāṁ ani vetikina dorakaṭlēdu kadā anvēṣa,hate
199,ravi prakash vunnappudu chaala mandhi house lloki veylli vaalla bed rooms varaku veyllaru chaala mandhi jevitaalato tv lanja channel ani chaala mandhi cheypparu,hate
200,matter divert chestundii ame ra hamara prasad ga bura leda kanisam legal ga ela adoption chesukovali ani gutleee,hate
201,​bjp lo seat kosam baga chesav le stunt,hate
204,theatre kellina badhitula ga ma badhalu panchukunnam anthe boothulu tittadam family ni involve cheyadam ee panchayati lu oddu amma happy ga undandi,hate
205,annnaaaaa ekkadikellav anna innirojulu pandemic time lo ni postmortem videos tho na stress antha pogattav especially with saleem review,non-hate
208,ippudu nuvvu cheppindi yem pikutanani news chesataru,hate
209,ni thumbnail jathini thenga,hate
210,puri sir me flop movies kuda vere directors teese hit movies kante manchi philosophical ga entertaining ga untai meetho bagu paddollu mimmalni marchipoyi undicchu sir but memu kadu love you sir e movie tho vijay manchi super ⭐️ avvalani korukuntunna 💝💝💝,non-hate
211,puri raasina dialogues mahesh chepthea excellent ga set avthai,non-hate
212,endhukura ayya pichi pichi thumbnails pedtharu,hate
213,u dont worry bro aa kalyani ki dhula patti idhantha chesthundhi,hate
214,​baga chepparumaha news is waste newsonly bjp ki tdp ki support vallu,hate
215,​pora howley,hate
217,jai kumar next nee amma nee sisters nee andharni petti prank thesthadu vadu wait,hate
218,inkaa saavaledhu le vaadu baane sacchaadu yedhavakanipisthoone vundhigaa,hate
219,​vaadikasalu em maatlaaduthunnaado clarity ne ledhu malli maatlaaduthunnaadu yedhava,hate
220,​gayathri medam super cheppinav good,non-hate
224,meeku governer post ivvadame waste,hate
225,meru enni kathalu padda kcr next cm of telangana cheap interviews with cheap abn rada krishna,hate
226,asal mamulga ledu thop awesome,non-hate
227,ah lobo ni marchandi ra babu,hate
229,ending naku tears vachai bro harsh sai real hero god bless u brother,non-hate
230,intentionally geliki emina serious ite news chedamani,hate
231,social media parma chetha media valu asalu vishayalu telsikounda matladam manchi kadu,hate
232,news valu pen undani rayatam manchidi kadu,hate
233,evadentha echaru neeku dabbulu bewerse yadavalraa,hate
235,public meeting lo ala matladalo teliyani valaki anchor chance ivvakamdi,hate
236,over confidant ithe alage untadi super ga cheppi silent chesinav suma akka,hate
237,suma akka meeru cooking show kuda anchoring chesthe chala baaguntundi,non-hate
239,dayachesi ali ki anchoring ivvakandi,hate
240,suma akka u r super ni pakkana adu enduku chandalam ga,hate
241,ore ali inta asahyamga matladutaav adavallatho double meaning dialogues matladutav nuvvu mla ayyi emi peekutav,hate
242,ali double meaning gaducheppu debba padali,hate
243,ali mi wife kerala vellara ani adigithe niku ela untundhi thappura nayana ala matladatam,hate
244,vaadiki baagaa balsindhimind dobbinattundhikodikki,hate
245,nuv politics loki vellali anukutunnavemo ila matladithe ninnu address lekunda kodatharu prajalu,hate
246,nidra pothunna gaadida nu lepi thanninchukovadam ante ide dayachesi vadiki public lo mike ivvakandi,hate
247,waste gaadu ali,hate
248,suma gurinchi evvaru cheppanakkarledu tanante maaku chala istam,non-hate
249,deneke paneameladau vadeke paneameladunekupaneameladu raa,hate
250,climax chala bagundhi lots of fun enjoyed a lot,non-hate
252,ee series mana filmymoji channel lo best series avalani korukuntuna,non-hate
255,yenta spastanga ame voice undo chudandi,non-hate
256,waste fellow in tollywood,hate
259,nenu chusina all speech lo ekkuva sarlu chusanu,non-hate
262,na friend valla papa ki operation ite aravind gari foundation help chesindi he is really doing a commendable job,non-hate
263,tokka kooda oppukonu,hate
264,telangana lo bjp vasteneee trs aarachakaalu tagguthai police la ni venta pettukoni motham telangana ni nashanam chestunnaru,hate
265,ktr matladedi kanisam ardam chesukune brain leni vallu kuda ktr anadame next election ki same place nunchi poti chesi deposit techukunte chalu,hate
266,roja garu ituvanti baddu biraagilanu interview mee dignity thagguthadi ituvanti vaaru samaajaniki cheeda purugulu,hate
267,rajyanganni marustham ante matram thaggedele,non-hate
268,arey howle nizamabad mp pasupu bord edhi be nv esukunna angi lagu kudha cangress icchindhe and telangana icchindhi kuda cangress a meeru cheppe digital india lo ni aadhar card kuda cangress tecchindhe,hate
269,chi chi neeku anchoring evadu nerponchondofarmers ni arrest chesinaru antesafety ki antavaintha dikkumaalina answer emina vuntada asaluante anyayam jarigindi ani chepte arrest lu chestaruala arrest cheyyadam correct antava nv,hate
270,waste fellow he did nothing for telengana,hate
271,gundu babu esari neku gundu sunna vasthundi no winnings,hate
273,babu gogineni garu suereb ga chepparu,non-hate
274,rk gaaru pedda kulagajji gaaru,hate
277,miru miru okkatey madyalo fans ey suffer avuthaaru,hate
278,dabba rayulu,hate
281,sannasi anagaane nene ani mee honesty ki hats off sir,hate
282,idendayya idi mariiii ila thayarayyaru dandaalu ra ayya,hate
283,nani inkosari pk speech chudu sollu kakunda raise chesina points gurinchi matladu sannasivenuv no doubt,hate
284,peoples be like nuvvu nijanga erripukivi,hate
285,sanyasi ante yevaro anukunna e korja gada,hate
286,maa karama elanti ministers undadam,hate
287,pk cheppindi enti veedu cheppedi enti kulala madya chichu pedadam annatu undi veedu matladedi,hate
289,asalu villu prajalaki em manchi chesthunnaroo cheppandi boothulu maatlaadi public ki tv ki entertainment cheyakandi,hate
290,karthikeya masth cheppinddu sudheer miru jabardasth ki belong avvarudhee ki belong avvaru ma audience ki belong avutaru,non-hate
292,climax telisikuda chusam ante thats all bcoz of sudheer and rashmi,non-hate
293,okko punch okko diamond la undi vronice edit,non-hate
294,vijay devarakonda fans ekkada thagedhele,non-hate
296,sudheer gaaru team yekada unna full comedyperfect time ki set ayyeka comedy chestharu,non-hate
297,ndian marriages antey narakami ve seen that hellpolice case lu blackmailing chala untayivinthaluviseshaluvadhu brothers marriage vadhuhappy ga single ga undandifocus on your goalslove your parentsfriendsgod bless you all…,hate
298,lavada bro hater gallu chiller,hate
299,gudda lo rod dimuptha,hate
300,puk chinthapandu chestha na kodaka,hate
301,denginchukondi ra monna na notlo modda pettaru gah,hate
302,niamma puku denga siggu vundali ra,hate
303,na athulu anta leru na endhuku ra,hate
304,enko sari horn kodite gudda lo pedutha na kodaka,hate
305,music apara lanja kodaka,hate
306,power staranedi oka brandevadu padithe vadu power star kadukaleduking okkade power star okkaleonly powerful power star pavan kalyan okkade,non-hate
307,power star ante movies and acting kadu real star only,non-hate
308,dil raju mari ekkuva chestunnadu no one can name like pspk,hate
310,dont compare it with powerstar veedi laga chetha character lu chillar gadi character lu cheyadu ma power star vaadu thaginchukunte manchidhi,hate
311,power star antha scene ledu,hate
312,king of over acting anna ki best over actor award always goes to vijay konda babu,hate
313,comparing every single bok gadu with pawan kalyan,hate
314,powar star okkade adhi pawan kalyan inka yavaru leru,non-hate
315,yenta mandhi stars vunna pawan kalyan ye power star,non-hate
318,venky sir ki assalu ego anedi leneledhu sir ur super man,non-hate
326,baga chepparu nani anna meru correct,non-hate
327,nani anna meru great,non-hate
328,andukokune vaalu laga vunnaru meru natho comparision na,hate
329,kallu pathukoni sanka kannidhi meru,hate
330,jr ntr chala vinayam ga vuntaru,non-hate
338,mādi telaṅgāṇa rāṣṭraṁ sār kānī rājakīya nāyakulalō mīraṇṭē entō gauravaṁ,non-hate
339,andarilo niladhiyadam sari ayina paddathi kadhu every one has self respect he is also citizen ok,non-hate
340,sir m l a garu prajala vadaku meru vachi chalabaga matladinaru sir bat all m l as nidarsanam very good sir m l a garu,non-hate
341,seemasimham ante ila undali great mla gaaru dharmavaram prajalu adhrushtavanthulu,non-hate
342,nayakudu ela undali god bless you sir,non-hate
343,sarpanchulu corporator lu kadhu vallu lakshalu kottlu nokkeseki volunteers respect ivvatam nerchukondi mla,hate
345,volunteer chesedhi seva praja seva oka rakamga adhi emi govt job kadhu choppinavanni thala upu kunta cheyani ki time paduthundi andhariki anni chusukoni vallaku help cheyali ante volunteer anevaru help chese vallu society ki andhukani help chepinchukondi anni musukoni pani kadhu chepinchukovalsindi,hate
347,ilanti mla anni niyojaka vargallo enduku leru,non-hate
349,rgv tho vaka interview plan chesthunava nuvu kuda,non-hate
350,idi edo reel kabhatti sari poindhi lekha pothe aadhi anna deenikhi kuda eadoka setair veseavadu mee midha,non-hate
351,mana nāyakulu eppuḍu cinna vāḷḷa mīda pratāpaṁ cūpistāru phasṭ pōyi rōḍlu vēyaṇḍi nīṭ gā,hate
353,mundhu rtc buses lo students entha ibbandhi padivelthunnaru chudandii valla hanging conditions you have to notice everything,hate
354,thumbnail marchuko bro ayana cisi kaadhu me veiws kosam edhanna pedtharu,hate
355,auto vallu volunteer meda kadu st roads drainage etc choodu,hate
356,nuvvu king mawa,non-hate
360,inthavaraku oka ysrcp mla velli subrahmanyam family ni kalisi matladaledu miru em sc minister ra miru em cm thu,hate
361,rey me self dabba apandi ra babu … elane late chesi janali yadavalni chestunnaru… mundu arrest cheyandi,hate
363,ore ni veshalu api pani chusko,hate
364,me bathukulu yenduku ra,hate
366,hmtv ki koncham ina siggu untetitle sakkaga petandhi first chepindhi okati ithe mi title inkolla undhi,hate
367,mallanna fighting for every thing which is relevant to trurth,non-hate
368,anchor ki questions adagatam reledhu,hate
369,madam meeru good questions aduguthunnaru,non-hate
370,thumbnail chetha ga undi,hate
372,anji mama and sathi anna combination adhirindi,non-hate
373,jyosham kana nenu ni mida penchukuna prema goppadi super,non-hate
378,botsa oka pichodu,hate
380,its ntr revolution prapan̄ca sini caritralō naṭane ūpiri gā jīvistunna goppa vyakti mā anna tārakarāmuḍu,non-hate
384,manchi pani chesaru,non-hate
385,em parva ledu e narayana college valla entho mandi pillalu chanipoyhunaru,hate
386,emumdi le narayana swamy court karchulu lawyers karchuluetc anni next year fees penchi vasulu chesukovachu anthe ga pillala usuru tagilindi,hate
387,exams lo vundey vallani invigilators antaru adi kuda teleedhu veeedu minister chesadu karmara babu chi thuppas na kodaka,hate
388,chepadaniku siggu ledu ra neeku,hate
389,sajjanar sir meru great meru cheshindhi chaala manchi pani,non-hate
390,no one can write meaningful songs like you sirme you sir om shanti,non-hate
394,malli siggu lekunda noob account eskoni vachesava,hate
395,vachanu anuko gudda paligipodhi,hate
397,after long tym kadupubba navvanutnx paithyamaawa,non-hate
404,houselo lekapoyatapadike gopalu chepukuntunadu waste gadu,hate
405,bindu ante flower anukunnava fire fire ahee,non-hate
408,mana deshamlo babu gogineni gaaru lanti valu chalakavali,non-hate
409,babu gogineni gaaru chaala manchi reformer mana ilanti vallu kavali,non-hate
410,astrologer pradeep joshi pedda book gaadu,hate
411,aithey entra koushal mundhu odipoyav kadha enka sigguledhu neku koushal army tho thanninchukuney varaku vurukunnattulevu,hate
412,koushal nijamja peddha manchi manishi,non-hate
413,telugu prajalu chaala ardusthavantadhulu manaki garikipati garu dorikinanduku,non-hate
417,po ra pichi kukka siggu ledhu em ledhu asla manishi vey na,hate
418,warner ni retain cheyakapote srh managament gudda pagilipoddi,non-hate
419,d player ha boogu ha asla bat pattukovadam raadu,hate
420,anayana kapoor overaction tappa em ledhu,hate
422,mahesh babu gari die hard fan,non-hate
423,rashmika cheshedhi anta over acting tappa em ledhu,hate
424,erri puk moody valla srh playoffs ki pole,hate
425,lanja puk managment valla ma warner mamali vadi velipoyaru,hate
426,lofar lanjakodaka delete cheyi first,hate
427,ne photo pdutha agu ra puka,hate
428,delete cheii bro lekopothey kcpd,hate
429,nee account report chepista agu ra puka,hate
430,ma anna nee troll chestava ra puka,hate
431,rey delete cheyi lawde,hate
432,delete cheii raa koja,hate
433,moham medha dengutharuu,hate
434,em lanjakodukulu rs meeru,hate
435,fans ne like naaky intrest poyindhi lawda lo ipl,hate
436,bro delete cheyakapothey ma fans ninnu degenutharu,hate
437,arey sulli gah ma rc medhey chesthava ra,hate
438,waste na kodaka athumukka post lu chesthunavu ra,hate
439,ne notlo na modda delete cheeyi ra gandu,hate
440,baga edit chesaru bayya,non-hate
441,gaajulu thodukoni intlo kurcho,hate
442,munna bhaiya mi abbimanini inkada ni kosam pranam istha,non-hate
443,punju vachi pitta ni dengithey nenu commentry chepijry ala vuntadhi punjuunggamer,hate
444,okko comment okka diamonad lags vundhi bayya,non-hate
445,dengethe desam pothadhi ball degradun beyy dehradun,hate
446,naku telusu ra nuvvu thedha lanja vi anni,hate
447,kallu kakulu dengiyaa naa lanja kodaka,hate
448,pichi puka adhi wiide ra nuvvu ni erri puku umpiring,hate
449,veedu pani ipoiendhi,hate
450,pora kukka,hate
451,buthula saka mantri,hate
452,kojja mundu supply epinchandi,hate
461,mahidhar bro meru chala genuine person,non-hate
463,ippatiki times chusaanu what a humorous innocent dialogues superb,non-hate
464,director di super comedychildish behaviourwhen he said wrong answerquestion ardam avaledu ani,non-hate
470,flop vachina directors ki hit yevvadam ntr anna ki sontham,non-hate
471,ekkada memu ntr fans evaru bayapadatam ledu enudkante hero director ki freedom ivvali adi ntr ki and k siva ki chala good bonding undi,non-hate
472,balayya oka vedhava anukune vallu oka like veskondi,hate
473,slient pettu bangaram phone,hate
474,tension lo silent lo pettadam marchipoyindhi,non-hate
475,naresh pottigane vundura famous ga vuntav,non-hate
476,deenni ycp lo ki raanivvakandi,hate
477,td janrdan cbn binami eddaru dongale avasaraniki vadukon vadilese cbn tdp partty,hate
479,aada paduchula usuru thagili yellow party nasanam kavali,non-hate
480,e phone baya inta clarity vachindi video adi theatre lo,non-hate
481,neelanti vallu valla nijame ayina devunuki avamanam jarukutundhi,hate
482,rk comedian ikkada ka paul is very confident,non-hate
483,idream nagaraju interview with bandla ganesh tarvata anta level comedy interview ide malla,non-hate
484,nenu cheppinappudu counter ivvandi,non-hate
486,andaru mla lu elagay undali thanq mla garu,non-hate
487,veellandhari kante rsp sir eetala sir best leaders,non-hate
488,im enjoyed a lot andi a show chusina intha fun undaka povachu good entertainment keep it up bros,non-hate
489,full entertainment ayindhi revanth reddy maryadaga matladina thittinatte undhi superooo super,non-hate
490,songs kosam mv ki vellochu super unnayi songs,non-hate
491,venkatesh gaari mature quality entante ippatiki new born star laaga kamal gari meedha unna fanisaani choopistunnaru salute to u venkatesh garu,non-hate
492,ekkada bro nuv ee movie chusindi,non-hate
493,ye mobile lo thesav bro clarity bagundhi,non-hate
494,the courage to be disliked ee book summary cheyyandi anna,non-hate
495,thank you bro roju mrng walk ki velletappudu ne video vinta u r adding lot of value for me and my tym,non-hate
496,chalabaundi video correct time lo release chesaru hattsoff to your voice and motivational information,non-hate
497,venky mama ekkaduna positive vibes anthe,non-hate
498,cheppav nijame bro,non-hate
499,true naa jevithamlo jarigindi,non-hate
500,enthaina paatha cinemaalu paatha cinemaale,non-hate
501,epudu varaku upload chysina videos e video a clarity ga vundi,non-hate
502,movie block buster mass jathara bomma daddarillipoyindi in theatres super dooper hit,non-hate
503,disha nendutalade petrol bunk lo cctv futage tapa vera aemi avedence ladu valani encounter caseru velani cheyandi apudu tapa naku matram tapa police la pina namakamlad,non-hate
504,𝙰𝚝𝚝𝚎𝚗𝚍𝚎𝚗𝚌𝚎 𝚐𝚞𝚛𝚒𝚗𝚌𝚑𝚒 𝚞𝚗𝚝𝚎 𝚋𝚊𝚐𝚞𝚗𝚍𝚞,non-hate
505,lo second di tisi ki ki madyalo pedite avtundi order saripotadi,non-hate
506,same nen ade anukunna,non-hate
507,okkati kuda thiyanavasarm ledhu,non-hate
508,yela vastai ilaanti idea lu…,non-hate
509,table reverse move cheyyali okasari,non-hate
510,unnai kada andulo okati teyali easy,non-hate
511,baga chepevu talli ne matallo nayam unnadhi,non-hate
512,nenu ithae thinevadini inthsepu chudanu,non-hate
514,asalu dance undhi chudu bro hats off antey,non-hate
516,avasaram aite shaving kooda chestaaru prabuthyodoyogulu adi vaari istam,non-hate
517,chinna vishayanni rajyantham chesthaventi manchi news collect cheyyi nuvvu,non-hate
