S.No,Comments,Label
HATE_1095,power loki vachaka prajala paina kallu petti thokkutharuu,hate
HATE_1096,assembly lo aa party kani sir ma samsyaluni gurinchi matladandi missillineous vanni matlda vaddu si,hate
HATE_1097,miru chala great man simham munduku kukkalu ravu sir love you soo much bratiki konnirojulaina ilane vundali love you,non-hate
HATE_1098,super sathi garumee action superbchala enjoy chesthunnamu,non-hate
HATE_1099,arey budder khan nuvvu asalu,hate
HATE_1100,venki anna yekkada unna haa joshi veru,non-hate
HATE_1101,permit room lu enduku pettirru thaginanka oka beer tho aguthara,hate
HATE_1102,kaveri jah kadu ra adi evarro kudo teliduuu jafa,hate
HATE_1103,wines lo thaage system pettakandi sir banjeyandi samaanyula midhane miru ebbandhi pedtharu wines yekkada padithe akkada unnai galliko wines aindhi,hate
HATE_1104,manchu laxmi lo andam ekada kanipistunde raa babu dabbu unte stone kuda diamond laga kanipistunde,hate
HATE_1105,meru devudu annalife long meru healthy ga undalani devudu ki pratistunna,non-hate
HATE_1106,samba shivudu great humanity person,non-hate
HATE_1107,wow real journalist mallanna gariki hattsoffmelaga andaru journalists vuntey asalu corruption cheyadaniki kuda bhayapadtaru anna,non-hate
HATE_1108,konchem odd ga behave cheyadam kadandi pitchandi edi,hate
HATE_1109,eme thagi matladthundemo,hate
HATE_1110,andhra lo roads veyandi babu koncham accidents avthunnai vehicles anni damage avthunnai krishna and west godavari roads aithey mari worst,hate
HATE_1111,youtube vedios konni follow ayyedhanni tharwatha bb house lo koncham negitive feel ayya ippudu chustunte badha anipistundhi very good dancer all the best for your future shanmukh 💐,non-hate
HATE_1112,prajala samasyala gurinchi okaru kuda matladaru kadha nice,hate
HATE_1113,ayithe life politician kavali ra babu,non-hate
HATE_1114,jagan paapam pande rojulu dhaggara paduthunnayi vasthunnayi vasthunnayi manchi rojulu vasthunnayi,hate
HATE_1115,idemi daridramu ra anna assalu bharincha leka potunnamu veellaku emaina buddhi gnanamu vunda vella iq enta mott amur family kalipi chusina daatadi emo,hate
HATE_1116,adhikaram vunte thuglak gadu emaina chesasthadu,hate
HATE_1117,agu gadi debbaku reddys ni jobslo evaru petukoru kulanike ibandi padutumndi,hate
HATE_1118,chi maarandi e trolls chusaina public feeling telusukoni masalukondi,hate
HATE_1119,nijam ayyina reddlu tdp ki support ga undali,non-hate
HATE_1120,me vally telagana eroju ela vundhi sir ma andra ki kuda jagan lanty yadhava kakundha melanty ledars kavali sir great kcr and ktr,hate
HATE_1121,mata tadabada kunda clear ga ktr sir matalu super,non-hate
HATE_1122,telangana ki manchi rojulu vasthunai,non-hate
HATE_1123,big boss lo he felt lonelya emotion lo siri ne hug cheskunadunot with bad intentionhope deepthi understands himhis smile nd eyes both r filled with pain,non-hate
HATE_1124,meru superr andhra gurchince koncham careing im haapy for that keep supporting,non-hate
HATE_1125,partial dharidrsm voddhu sir,hate
HATE_1126,okka party lo unte neevu correctchange aite ilane untundi,hate
HATE_1127,ravi teja the man behind those wonderful memes raviteja anna ki oka oooooo,non-hate
HATE_1128,ycp chappina matalu vinte mosapotaru jagrtta,hate
HATE_1129,vidipoyaru ana pain feel una navvuthunadu shannu,non-hate
HATE_1130,ippudu ee vedio choostey pichha comedy ga untundhicomedy cheddam anukoni comedy aipoyava narsiredyyyyadaki poyavayyaa,hate
HATE_1131,janame kurcho pettaru mimmalni tharimi kottaru,hate
HATE_1132,ramcharan garu mari intha introvert ha devuda decent ga unnadu fidha ntr rajamouli suma garu next level super,non-hate
HATE_1133,cbn maryada poorvakanga mic isthe praja samasyalu thelusukokunda mp garu dhurviniyogam chesaru,hate
HATE_1134,jokulu vesukoni navukunnaru eppudu andaru navutunnaru chusi,non-hate
HATE_1135,vedu evavu overaction chesthunnadu child labour aa,hate
HATE_1136,pilla pu aathulu,hate
HATE_1137,velli allurjun madda guudu,hate
HATE_1138,super sir mee lanti vallu undali si,non-hate
HATE_1139,ah group lo nannu add chaindi mawa,non-hate
HATE_1140,super sir ila andharu alochinchi respectful ga move ithey society bagupadthadhi,non-hate
HATE_1141,great sir me behavior ku na police vallu andharu me laga unte friendly policing,non-hate
HATE_1142,nibba ki phone istey ela untundi,hate
HATE_1143,super ga vundhi drama commen people ni sir ani kuda antara o my god this is team work guys,non-hate
HATE_1144,nagavalli died because of this video,hate
HATE_1145,prank lu chesukuntunaru e police gallu public ni mosam cheyadaniki,hate
HATE_1146,aatla vastai anna niku enni telivi tetalu oka cinema thi anna,non-hate
HATE_1147,vera level sinking sir comedy super,non-hate
HATE_1148,police drama is thisjanaalanu andhulo specially night time sir ani respect iche antha seen ledu,hate
HATE_1149,okkokkadiki months pregnancy vundhi policelaki,hate
HATE_1150,acting chaalabaagundi mi timing kanivandi performance kanivandi dialogue delivery gaani nice kipet up all the best you have a great future as an artist,non-hate
HATE_1159,tv ki dula thirchestadu rgv,hate
HATE_1163,boothu ki care of address ayina anasuya garu boothu gurinchi maatlaaduthundhi wah wah,hate
HATE_1164,video super ayya editing super anthey,non-hate
HATE_1165,edhi matharam jabardasth lo expose cheychu adult comedy cheyachu ari fikudhi,hate
HATE_1166,assalu monna vachina khiladi cinima lo anusuya matram hot hot ga ichi padesindianthe,non-hate
HATE_1167,bhuthulu gurinchi double meanings gurinchi nuv matladodhu anusuya plz,hate
HATE_1170,meeku ichindhi mamulu post kadhusvbc chairman ante manchi postmeeru daani missuse chesukunnarujagan gurinchi pk gari gurinchi kadhumeeru avakaasamu miss use chesukunnaru,hate
HATE_1172,pilichi pettinchukuntaru gatv ki eemadhya sarada ayindi,hate
HATE_1173,e tv ki burra poyandhi,hate
HATE_1175,ñeela oka hr kuda undalem sir jai rgv,non-hate
HATE_1180,vedhavalu vedhavalu anni chotla vunnaruinka janalani yedipinchadam tappa,hate
HATE_1182,byredyy cheyppadu kada ra nenu party maredu ledu ani mee moddalo gola yanti raa,hate
HATE_1183,vadu em matladuthunnado eanna artham aithe kanisam telugu translator ni pettukovachuga telugu bashaki respect ivvaru bjp vallu,hate
HATE_1184,anna nee comedy expressions baguntai,non-hate
HATE_1185,bro ni slang ee neeku plus point manchi humour undi neelo elane regular ga videos chestu undu k pakka,non-hate
HATE_1195,dīnamma jīvitaṁ okka postive kāmeṇṭ kanīsaṁ cūdāṁ ani vetikina dorakaṭlēdu kadā anvēṣa,hate
HATE_1199,ravi prakash vunnappudu chaala mandhi house lloki veylli vaalla bed rooms varaku veyllaru chaala mandhi jevitaalato tv lanja channel ani chaala mandhi cheypparu,hate
HATE_1200,matter divert chestundii ame ra hamara prasad ga bura leda kanisam legal ga ela adoption chesukovali ani gutleee,hate
HATE_1201,​bjp lo seat kosam baga chesav le stunt,hate
HATE_1204,theatre kellina badhitula ga ma badhalu panchukunnam anthe boothulu tittadam family ni involve cheyadam ee panchayati lu oddu amma happy ga undandi,hate
HATE_1205,annnaaaaa ekkadikellav anna innirojulu pandemic time lo ni postmortem videos tho na stress antha pogattav especially with saleem review,non-hate
HATE_1208,ippudu nuvvu cheppindi yem pikutanani news chesataru,hate
HATE_1209,ni thumbnail jathini thenga,hate
HATE_1210,puri sir me flop movies kuda vere directors teese hit movies kante manchi philosophical ga entertaining ga untai meetho bagu paddollu mimmalni marchipoyi undicchu sir but memu kadu love you sir e movie tho vijay manchi super ⭐️ avvalani korukuntunna 💝💝💝,non-hate
HATE_1211,puri raasina dialogues mahesh chepthea excellent ga set avthai,non-hate
HATE_1212,endhukura ayya pichi pichi thumbnails pedtharu,hate
HATE_1213,u dont worry bro aa kalyani ki dhula patti idhantha chesthundhi,hate
HATE_1214,​baga chepparumaha news is waste newsonly bjp ki tdp ki support vallu,hate
HATE_1215,​pora howley,hate
HATE_1217,jai kumar next nee amma nee sisters nee andharni petti prank thesthadu vadu wait,hate
HATE_1218,inkaa saavaledhu le vaadu baane sacchaadu yedhavakanipisthoone vundhigaa,hate
HATE_1219,​vaadikasalu em maatlaaduthunnaado clarity ne ledhu malli maatlaaduthunnaadu yedhava,hate
HATE_1220,​gayathri medam super cheppinav good,non-hate
HATE_1224,meeku governer post ivvadame waste,hate
HATE_1225,meru enni kathalu padda kcr next cm of telangana cheap interviews with cheap abn rada krishna,hate
HATE_1226,asal mamulga ledu thop awesome,non-hate
HATE_1227,ah lobo ni marchandi ra babu,hate
HATE_1229,ending naku tears vachai bro harsh sai real hero god bless u brother,non-hate
HATE_1230,intentionally geliki emina serious ite news chedamani,hate
HATE_1231,social media parma chetha media valu asalu vishayalu telsikounda matladam manchi kadu,hate
HATE_1232,news valu pen undani rayatam manchidi kadu,hate
HATE_1233,evadentha echaru neeku dabbulu bewerse yadavalraa,hate
HATE_1235,public meeting lo ala matladalo teliyani valaki anchor chance ivvakamdi,hate
HATE_1236,over confidant ithe alage untadi super ga cheppi silent chesinav suma akka,hate
HATE_1237,suma akka meeru cooking show kuda anchoring chesthe chala baaguntundi,non-hate
HATE_1239,dayachesi ali ki anchoring ivvakandi,hate
HATE_1240,suma akka u r super ni pakkana adu enduku chandalam ga,hate
HATE_1241,ore ali inta asahyamga matladutaav adavallatho double meaning dialogues matladutav nuvvu mla ayyi emi peekutav,hate
HATE_1242,ali double meaning gaducheppu debba padali,hate
HATE_1243,ali mi wife kerala vellara ani adigithe niku ela untundhi thappura nayana ala matladatam,hate
HATE_1244,vaadiki baagaa balsindhimind dobbinattundhikodikki,hate
HATE_1245,nuv politics loki vellali anukutunnavemo ila matladithe ninnu address lekunda kodatharu prajalu,hate
HATE_1246,nidra pothunna gaadida nu lepi thanninchukovadam ante ide dayachesi vadiki public lo mike ivvakandi,hate
HATE_1247,waste gaadu ali,hate
HATE_1248,suma gurinchi evvaru cheppanakkarledu tanante maaku chala istam,non-hate
HATE_1249,deneke paneameladau vadeke paneameladunekupaneameladu raa,hate
HATE_1250,climax chala bagundhi lots of fun enjoyed a lot,non-hate
HATE_1252,ee series mana filmymoji channel lo best series avalani korukuntuna,non-hate
HATE_1255,yenta spastanga ame voice undo chudandi,non-hate
HATE_1256,waste fellow in tollywood,hate
HATE_1259,nenu chusina all speech lo ekkuva sarlu chusanu,non-hate
HATE_1262,na friend valla papa ki operation ite aravind gari foundation help chesindi he is really doing a commendable job,non-hate
HATE_1263,tokka kooda oppukonu,hate
HATE_1264,telangana lo bjp vasteneee trs aarachakaalu tagguthai police la ni venta pettukoni motham telangana ni nashanam chestunnaru,hate
HATE_1265,ktr matladedi kanisam ardam chesukune brain leni vallu kuda ktr anadame next election ki same place nunchi poti chesi deposit techukunte chalu,hate
HATE_1266,roja garu ituvanti baddu biraagilanu interview mee dignity thagguthadi ituvanti vaaru samaajaniki cheeda purugulu,hate
HATE_1267,rajyanganni marustham ante matram thaggedele,non-hate
HATE_1268,arey howle nizamabad mp pasupu bord edhi be nv esukunna angi lagu kudha cangress icchindhe and telangana icchindhi kuda cangress a meeru cheppe digital india lo ni aadhar card kuda cangress tecchindhe,hate
HATE_1269,chi chi neeku anchoring evadu nerponchondofarmers ni arrest chesinaru antesafety ki antavaintha dikkumaalina answer emina vuntada asaluante anyayam jarigindi ani chepte arrest lu chestaruala arrest cheyyadam correct antava nv,hate
HATE_1270,waste fellow he did nothing for telengana,hate
HATE_1271,gundu babu esari neku gundu sunna vasthundi no winnings,hate
HATE_1273,babu gogineni garu suereb ga chepparu,non-hate
HATE_1274,rk gaaru pedda kulagajji gaaru,hate
HATE_1277,miru miru okkatey madyalo fans ey suffer avuthaaru,hate
HATE_1278,dabba rayulu,hate
HATE_1281,sannasi anagaane nene ani mee honesty ki hats off sir,hate
HATE_1282,idendayya idi mariiii ila thayarayyaru dandaalu ra ayya,hate
HATE_1283,nani inkosari pk speech chudu sollu kakunda raise chesina points gurinchi matladu sannasivenuv no doubt,hate
HATE_1284,peoples be like nuvvu nijanga erripukivi,hate
HATE_1285,sanyasi ante yevaro anukunna e korja gada,hate
HATE_1286,maa karama elanti ministers undadam,hate
HATE_1287,pk cheppindi enti veedu cheppedi enti kulala madya chichu pedadam annatu undi veedu matladedi,hate
HATE_1289,asalu villu prajalaki em manchi chesthunnaroo cheppandi boothulu maatlaadi public ki tv ki entertainment cheyakandi,hate
HATE_1290,karthikeya masth cheppinddu sudheer miru jabardasth ki belong avvarudhee ki belong avvaru ma audience ki belong avutaru,non-hate
HATE_1292,climax telisikuda chusam ante thats all bcoz of sudheer and rashmi,non-hate
HATE_1293,okko punch okko diamond la undi vronice edit,non-hate
HATE_1294,vijay devarakonda fans ekkada thagedhele,non-hate
HATE_1296,sudheer gaaru team yekada unna full comedyperfect time ki set ayyeka comedy chestharu,non-hate
HATE_1297,ndian marriages antey narakami ve seen that hellpolice case lu blackmailing chala untayivinthaluviseshaluvadhu brothers marriage vadhuhappy ga single ga undandifocus on your goalslove your parentsfriendsgod bless you all…,hate
HATE_1298,lavada bro hater gallu chiller,hate
HATE_1299,gudda lo rod dimuptha,hate
HATE_1300,puk chinthapandu chestha na kodaka,hate
HATE_1301,denginchukondi ra monna na notlo modda pettaru gah,hate
HATE_1302,niamma puku denga siggu vundali ra,hate
HATE_1303,na athulu anta leru na endhuku ra,hate
HATE_1304,enko sari horn kodite gudda lo pedutha na kodaka,hate
HATE_1305,music apara lanja kodaka,hate
HATE_1306,power staranedi oka brandevadu padithe vadu power star kadukaleduking okkade power star okkaleonly powerful power star pavan kalyan okkade,non-hate
HATE_1307,power star ante movies and acting kadu real star only,non-hate
HATE_1308,dil raju mari ekkuva chestunnadu no one can name like pspk,hate
HATE_1310,dont compare it with powerstar veedi laga chetha character lu chillar gadi character lu cheyadu ma power star vaadu thaginchukunte manchidhi,hate
HATE_1311,power star antha scene ledu,hate
HATE_1312,king of over acting anna ki best over actor award always goes to vijay konda babu,hate
HATE_1313,comparing every single bok gadu with pawan kalyan,hate
HATE_1314,powar star okkade adhi pawan kalyan inka yavaru leru,non-hate
HATE_1315,yenta mandhi stars vunna pawan kalyan ye power star,non-hate
HATE_1318,venky sir ki assalu ego anedi leneledhu sir ur super man,non-hate
HATE_1326,baga chepparu nani anna meru correct,non-hate
HATE_1327,nani anna meru great,non-hate
HATE_1328,andukokune vaalu laga vunnaru meru natho comparision na,hate
HATE_1329,kallu pathukoni sanka kannidhi meru,hate
HATE_1330,jr ntr chala vinayam ga vuntaru,non-hate
HATE_1338,mādi telaṅgāṇa rāṣṭraṁ sār kānī rājakīya nāyakulalō mīraṇṭē entō gauravaṁ,non-hate
HATE_1339,andarilo niladhiyadam sari ayina paddathi kadhu every one has self respect he is also citizen ok,non-hate
HATE_1340,sir m l a garu prajala vadaku meru vachi chalabaga matladinaru sir bat all m l as nidarsanam very good sir m l a garu,non-hate
HATE_1341,seemasimham ante ila undali great mla gaaru dharmavaram prajalu adhrushtavanthulu,non-hate
HATE_1342,nayakudu ela undali god bless you sir,non-hate
HATE_1343,sarpanchulu corporator lu kadhu vallu lakshalu kottlu nokkeseki volunteers respect ivvatam nerchukondi mla,hate
HATE_1345,volunteer chesedhi seva praja seva oka rakamga adhi emi govt job kadhu choppinavanni thala upu kunta cheyani ki time paduthundi andhariki anni chusukoni vallaku help cheyali ante volunteer anevaru help chese vallu society ki andhukani help chepinchukondi anni musukoni pani kadhu chepinchukovalsindi,hate
HATE_1347,ilanti mla anni niyojaka vargallo enduku leru,non-hate
HATE_1349,rgv tho vaka interview plan chesthunava nuvu kuda,non-hate
HATE_1350,idi edo reel kabhatti sari poindhi lekha pothe aadhi anna deenikhi kuda eadoka setair veseavadu mee midha,non-hate
HATE_1351,mana nāyakulu eppuḍu cinna vāḷḷa mīda pratāpaṁ cūpistāru phasṭ pōyi rōḍlu vēyaṇḍi nīṭ gā,hate
HATE_1353,mundhu rtc buses lo students entha ibbandhi padivelthunnaru chudandii valla hanging conditions you have to notice everything,hate
HATE_1354,thumbnail marchuko bro ayana cisi kaadhu me veiws kosam edhanna pedtharu,hate
HATE_1355,auto vallu volunteer meda kadu st roads drainage etc choodu,hate
HATE_1356,nuvvu king mawa,non-hate
HATE_1360,inthavaraku oka ysrcp mla velli subrahmanyam family ni kalisi matladaledu miru em sc minister ra miru em cm thu,hate
HATE_1361,rey me self dabba apandi ra babu … elane late chesi janali yadavalni chestunnaru… mundu arrest cheyandi,hate
HATE_1363,ore ni veshalu api pani chusko,hate
HATE_1364,me bathukulu yenduku ra,hate
HATE_1366,hmtv ki koncham ina siggu untetitle sakkaga petandhi first chepindhi okati ithe mi title inkolla undhi,hate
HATE_1367,mallanna fighting for every thing which is relevant to trurth,non-hate
HATE_1368,anchor ki questions adagatam reledhu,hate
HATE_1369,madam meeru good questions aduguthunnaru,non-hate
HATE_1370,thumbnail chetha ga undi,hate
HATE_1372,anji mama and sathi anna combination adhirindi,non-hate
HATE_1373,jyosham kana nenu ni mida penchukuna prema goppadi super,non-hate
HATE_1378,botsa oka pichodu,hate
HATE_1380,its ntr revolution prapan̄ca sini caritralō naṭane ūpiri gā jīvistunna goppa vyakti mā anna tārakarāmuḍu,non-hate
HATE_1384,manchi pani chesaru,non-hate
HATE_1385,em parva ledu e narayana college valla entho mandi pillalu chanipoyhunaru,hate
HATE_1386,emumdi le narayana swamy court karchulu lawyers karchuluetc anni next year fees penchi vasulu chesukovachu anthe ga pillala usuru tagilindi,hate
HATE_1387,exams lo vundey vallani invigilators antaru adi kuda teleedhu veeedu minister chesadu karmara babu chi thuppas na kodaka,hate
HATE_1388,chepadaniku siggu ledu ra neeku,hate
HATE_1389,sajjanar sir meru great meru cheshindhi chaala manchi pani,non-hate
HATE_1390,no one can write meaningful songs like you sirme you sir om shanti,non-hate
HATE_1394,malli siggu lekunda noob account eskoni vachesava,hate
HATE_1395,vachanu anuko gudda paligipodhi,hate
HATE_1397,after long tym kadupubba navvanutnx paithyamaawa,non-hate
HATE_1404,houselo lekapoyatapadike gopalu chepukuntunadu waste gadu,hate
HATE_1405,bindu ante flower anukunnava fire fire ahee,non-hate
HATE_1408,mana deshamlo babu gogineni gaaru lanti valu chalakavali,non-hate
HATE_1409,babu gogineni gaaru chaala manchi reformer mana ilanti vallu kavali,non-hate
HATE_1410,astrologer pradeep joshi pedda book gaadu,hate
HATE_1411,aithey entra koushal mundhu odipoyav kadha enka sigguledhu neku koushal army tho thanninchukuney varaku vurukunnattulevu,hate
HATE_1412,koushal nijamja peddha manchi manishi,non-hate
HATE_1413,telugu prajalu chaala ardusthavantadhulu manaki garikipati garu dorikinanduku,non-hate
HATE_1417,po ra pichi kukka siggu ledhu em ledhu asla manishi vey na,hate
HATE_1418,warner ni retain cheyakapote srh managament gudda pagilipoddi,non-hate
HATE_1419,d player ha boogu ha asla bat pattukovadam raadu,hate
HATE_1420,anayana kapoor overaction tappa em ledhu,hate
HATE_1422,mahesh babu gari die hard fan,non-hate
HATE_1423,rashmika cheshedhi anta over acting tappa em ledhu,hate
HATE_1424,erri puk moody valla srh playoffs ki pole,hate
HATE_1425,lanja puk managment valla ma warner mamali vadi velipoyaru,hate
HATE_1426,lofar lanjakodaka delete cheyi first,hate
HATE_1427,ne photo pdutha agu ra puka,hate
HATE_1428,delete cheii bro lekopothey kcpd,hate
HATE_1429,nee account report chepista agu ra puka,hate
HATE_1430,ma anna nee troll chestava ra puka,hate
HATE_1431,rey delete cheyi lawde,hate
HATE_1432,delete cheii raa koja,hate
HATE_1433,moham medha dengutharuu,hate
HATE_1434,em lanjakodukulu rs meeru,hate
HATE_1435,fans ne like naaky intrest poyindhi lawda lo ipl,hate
HATE_1436,bro delete cheyakapothey ma fans ninnu degenutharu,hate
HATE_1437,arey sulli gah ma rc medhey chesthava ra,hate
HATE_1438,waste na kodaka athumukka post lu chesthunavu ra,hate
HATE_1439,ne notlo na modda delete cheeyi ra gandu,hate
HATE_1440,baga edit chesaru bayya,non-hate
HATE_1441,gaajulu thodukoni intlo kurcho,hate
HATE_1442,munna bhaiya mi abbimanini inkada ni kosam pranam istha,non-hate
HATE_1443,punju vachi pitta ni dengithey nenu commentry chepijry ala vuntadhi punjuunggamer,hate
HATE_1444,okko comment okka diamonad lags vundhi bayya,non-hate
HATE_1445,dengethe desam pothadhi ball degradun beyy dehradun,hate
HATE_1446,naku telusu ra nuvvu thedha lanja vi anni,hate
HATE_1447,kallu kakulu dengiyaa naa lanja kodaka,hate
HATE_1448,pichi puka adhi wiide ra nuvvu ni erri puku umpiring,hate
HATE_1449,veedu pani ipoiendhi,hate
HATE_1450,pora kukka,hate
